date,close,v,RSI,OT
2009-02-19,50.33,3.74,28.173022196926595,1
2009-02-20,47.74,8.8,17.24700761697501,1
2009-02-23,47.2,4.38,17.398463227222877,1
2009-02-24,51.05,3.1,30.16241299303944,0
2009-02-25,51.34,2.95,30.1948051948052,0
2009-02-26,51.28,2.12,33.97703549060543,0
2009-02-27,51.28,4.82,31.17519042437432,0
2009-03-02,48.88,4.7,26.441837732160323,0
2009-03-03,47.4,3.5,26.942231075697222,0
2009-03-04,49.0,3.1,28.22896281800392,1
2009-03-05,46.0,4.61,24.5194361384024,1
2009-03-06,46.54,2.0,27.04565030146425,1
2009-03-09,46.2,2.51,28.860294117647072,1
2009-03-10,55.1,5.03,55.07982583454282,0
2009-03-11,54.8,3.87,58.63267670915412,0
2009-03-12,55.61,2.79,66.32102861883035,0
2009-03-13,54.83,1.87,65.66735112936344,1
2009-03-16,52.84,1.69,53.9795464650956,1
2009-03-17,54.08,1.21,55.844709897610905,1
2009-03-18,54.74,1.83,57.19633943427621,1
2009-03-19,55.5,1.47,58.50806451612903,1
2009-03-20,55.06,1.45,63.52889667250438,1
2009-03-23,58.82,3.05,72.73089171974524,0
2009-03-24,58.44,2.48,69.7489539748954,0
2009-03-25,58.0,2.53,78.116213683224,0
2009-03-26,59.16,1.86,78.73406193078326,0
2009-03-27,58.4,1.41,77.25647899910635,0
2009-03-30,56.2,1.6,53.5076530612245,1
2009-03-31,56.4,1.79,55.13478818998718,1
2009-04-01,56.38,2.35,52.6031102096011,1
2009-04-02,58.12,2.09,60.444444444444464,1
2009-04-03,60.08,1.62,73.02798982188298,1
2009-04-06,59.94,2.21,70.04103967168265,1
2009-04-07,58.4,1.51,61.80645161290324,1
2009-04-08,58.3,1.02,59.43396226415095,1
2009-04-09,61.02,2.84,67.40654205607478,0
2009-04-13,61.44,1.97,59.50653120464441,0
2009-04-14,59.88,1.33,54.81283422459895,0
2009-04-15,59.66,0.73,55.63093622795114,0
2009-04-16,60.5,1.31,54.64632454923719,0
2009-04-17,60.24,1.39,56.60919540229887,0
2009-04-20,58.6,1.45,58.98203592814371,0
2009-04-21,58.0,2.42,55.8139534883721,1
2009-04-22,56.02,2.27,48.85496183206107,1
2009-04-23,56.26,1.61,43.45991561181435,1
2009-04-24,58.2,2.7,43.38028169014087,1
2009-04-27,58.62,1.88,45.44198895027624,1
2009-04-28,58.23,1.54,49.36234058514628,1
2009-04-29,61.47,2.61,59.62355798421372,1
2009-04-30,61.3,2.13,51.00574712643676,1
2009-05-01,60.88,1.31,47.98850574712645,1
2009-05-04,62.3,1.52,58.78084179970971,1
2009-05-05,61.94,1.22,58.18965517241381,0
2009-05-06,61.8,1.87,54.91679273827533,0
2009-05-07,61.04,2.39,52.91545189504373,0
2009-05-08,62.64,2.79,64.76608187134505,0
2009-05-11,59.2,2.3,53.63196125907992,0
